id;job_title;specialty;priority
1;District Infrastructure Developer;Metal Frozen;96953
2;Global Assurance Director;redundant;27083
3;District Division Producer;Ameliorated;18433
4;Principal Brand Assistant;Saudi Riyal paradigms;17329
5;Chief Marketing Architect;Optimized;9387
6;International Directives Technician;motivating Operations alarm;55435
7;District Communications Producer;Gorgeous Rubber Pants Cheese;12016
8;Lead Tactics Executive;Ergonomic Steel Gloves;85546
9;Principal Assurance Officer;Music connect;80691
10;Central Tactics Officer;systems integrate;61585
